id;number;date;description;unit_price;quantity;amount
1;Texas Focused;2023-03-14;Loop;89234;94315;55902
2;gold;2023-03-14;invoice;5148;79862;75071
3;Island Unbranded SDR;2023-03-13;Berkshire reciprocal Virginia;56857;17323;59835
4;Incredible Bhutanese;2023-03-14;Synergized parse intuitive;95348;45135;11017
5;Assistant Account program;2023-03-13;Buckinghamshire strategic Krona;51438;92472;22551
6;iterate;2023-03-14;HTTP;33894;20615;26944
7;Maine;2023-03-14;RAM;34241;89852;2473
8;Well;2023-03-14;Internal auxiliary RSS;5232;18406;97975
9;transmitting Iceland indigo;2023-03-14;neural Gorgeous Colorado;62169;77083;5093
10;Louisiana;2023-03-14;Granite Intuitive;42371;84214;32780
