id;name;short_name;full_name;tax_code
1;Croatian Springs Cambridgeshire;International Seychelles;e-commerce reinvent out-of-the-box;auxiliary
2;Forint;Account;Account;Optimization Pula leverage
3;capacitor Account sexy;paradigms Trail;Account Soft;neural Investment Glens
4;salmon Practical;Sports;Tuvalu Officer Ball;Soap Open-source Shirt
5;Arizona;enhance granular HDD;e-business pixel COM;XSS Alaska Pants
6;Nakfa;Associate adapter deposit;Tools Investor compressing;Keyboard scale haptic
7;calculate Mouse Forward;Health invoice Lesotho;Assimilated Tobago Electronics;algorithm Plastic Regional
8;Marketing;Austria USB;Cambridgeshire Cambridgeshire bleeding-edge;olive sexy
9;Flat calculating;orange withdrawal Account;integrated Fish;monitor
10;visualize;teal Wooden Shilling;Games Camp;application Sleek
